Algorithm,TopKCount,Runtime(ms),MemoryUsed(MB),Precision_vs_PrefixSum,Recall_vs_PrefixSum
PrefixSum,25,67,26,0.00,0.00,
IntervalIndex,25,69,-29,1.00,1.00,
Geometric,25,62,36,1.00,1.00,
Sampling,26,19,2,0.85,0.88,
ObliviousIndex,25,59,-16,1.00,1.00,
ColumnIndex,25,56,36,1.00,1.00,
CellWiseIndex,25,62,-37,1.00,1.00,
PrefixSum,1,1,0,0.00,0.00,
IntervalIndex,1,1,0,1.00,1.00,
Geometric,1,1,0,1.00,1.00,
Sampling,1,1,0,1.00,1.00,
ObliviousIndex,1,2,0,1.00,1.00,
ColumnIndex,1,2,0,1.00,1.00,
CellWiseIndex,1,2,0,1.00,1.00,
PrefixSum,0,630,354,0.00,0.00,
IntervalIndex,0,1405,40,0.00,0.00,
Geometric,0,679,-172,0.00,0.00,
Sampling,180,242,48,0.00,0.00,
ObliviousIndex,0,2058,-49,0.00,0.00,
ColumnIndex,0,1363,-11,0.00,0.00,
CellWiseIndex,0,1378,-13,0.00,0.00,
